Country,GII Index,GII Rank,Maternal mortality ratio,Adolescent birth rate,Share of seats in parliament
Pakistan,0.536,121,170,27.3,19.7
Myanmar,0.413,85,200,12.1,4.7
Angola,,,460,170.2,36.8
Swaziland,0.557,128,310,72.0,14.7
Tanzania (United Republic of),0.547,125,410,122.7,36.0
Nigeria,,,560,119.6,6.6
Cameroon,0.587,132,590,115.8,27.1
Madagascar,,,440,122.8,20.5
Zimbabwe,0.504,112,470,60.3,35.1
Mauritania,0.610,139,320,73.3,22.2
Solomon Islands,,,130,64.9,2.0
Papua New Guinea,0.611,140,220,62.1,2.7
Comoros,,,350,51.1,3.0
Yemen,0.744,155,270,47.0,0.7
Lesotho,0.541,124,490,89.4,26.8
Togo,0.588,134,450,91.5,17.6
Haiti,0.603,138,380,42.0,3.5
Rwanda,0.400,80,320,33.6,57.5
Uganda,0.538,122,360,126.6,35.0
Benin,0.614,142,340,90.2,8.4
Sudan,0.591,135,360,84.0,23.8
Djibouti,,,230,18.6,12.7
South Sudan,,,730,75.3,24.3
Senegal,0.528,118,320,94.4,42.7
Afghanistan,0.693,152,400,86.8,27.6
Cote d'Ivoire,0.679,151,720,130.3,9.2
Malawi,0.611,140,510,144.8,16.7
Ethiopia,0.558,129,420,78.4,25.5
Gambia,0.622,143,430,115.8,9.4
Congo (Democratic Republic of the),0.673,149,730,135.3,8.2
Liberia,0.651,146,640,117.4,10.7
Guinea-Bissau,,,560,99.3,13.7
Mali,0.677,150,550,175.6,9.5
Mozambique,0.591,135,480,137.8,39.6
Sierra Leone,0.650,145,"1,100",100.7,12.4
Guinea,,,650,131.0,21.9
Burkina Faso,0.631,144,400,115.4,13.3
Burundi,0.492,109,740,30.3,34.9
Chad,0.706,153,980,152.0,14.9
Eritrea,,,380,65.3,22.0
Central African Republic,0.655,147,880,98.3,12.5
Niger,0.713,154,630,204.8,13.3
Korea (Democratic People's Rep. of),,,87,0.6,16.3
Marshall Islands,,,,,3.0
Monaco,,,,,20.8
Nauru,,,,,5.3
San Marino,,,,,16.7
Somalia,,,850,110.4,13.8
Tuvalu,,,,,6.7
